Summary,Issue Type,Status,Project name,Project type,Description
Gateway Accessibility issue: ARIA attributes must conform to valid values - sidebar issue,Bug,Open,Sakai,software,"I used axe to verify a different Jira for the gateway and the sidebar was flagged:

h3. Element Location:

{noformat}a[title=""jump to site list""]{noformat}

{noformat}<a href=""#"" data-bs-toggle=""offcanvas"" data-bs-target=""#select-site-sidebar"" aria-controls=""select-site-sidebar"" class=""Mrphs-skipNav__link js-toggle-sites-nav"" title=""jump to site list"" accesskey=""w"">{noformat}

h3. To solve this problem, you need to fix the following:

Invalid ARIA attribute value: aria-controls=""select-site-sidebar"""
Tests & Quizzes: part images appear twice,Bug,Open,Sakai,software,"If you attach an image to a part, it is being displayed twice:

!image-20240222-115610.png|width=1280,height=740!



I didnâ€™t reproduce it on master."
Lessons: Reorder item preview modal close button not working,Bug,Closed,Sakai,software,Within the Lessons page Reorder function certain item types present themselves with a link that opens a modal that previews the content of the item (for example a Text item). The modal can be closed by clicking outside of it in the grey overlay.
"Lessons: Reorder item list text is too large, wrapping oddly",Bug,Open,Sakai,software,"The Lessons reorder page on Trunk is unexpectedly large text, wrapping to two rows even though there is plenty of space for a single line. Compare the screenshots showing Trunk and 23.x"
Lessons: Unable to select another site if going to Reorder -> Add Items From Another Page,Bug,Open,Sakai,software,[https://sakaiproject.atlassian.net/browse/SAK-47706|https://sakaiproject.atlassian.net/browse/SAK-47706|smart-link] introduced the ability to select another site to copy Lessons pages from when going through Add Content â†’ Add items from another page. However the alternative way to add items from another page is Reorder â†’ Add items from another page. This option does not include the option to select another site. I would expect both â€œAdd items from another pageâ€ to have the same options available. 
Lessons: Bulk Edit Subpage button missing ,Bug,Closed,Sakai,software,"[https://sakaiproject.atlassian.net/browse/SAK-47724|https://sakaiproject.atlassian.net/browse/SAK-47724|smart-link] added a very useful Bulk Edit Subpages button. It was initially added to 23.0, but is no longer appearing in Trunk or 23.x. It was merged into 22.4, so its disappearance in 23/Trunk would be seen as a regression by those who had it in 22."
Content: folders not appearing in zip downloads ,Bug,Closed,Sakai,software,"When generating/downloading a zip in the Resources tool, folders are no longer appearing and instead they are shown in the filenameâ€™s. For example, folder1 with file1.html appears as one file called folder1_file1.html."
Assignment: Cancel button does not actually remove changes made to grading. ,Bug,Open,Sakai,software,Â Clicking â€˜cancelâ€™ does not change back to previously saved grade on the Sakai grader. 
Assignment/CKeditor: Text input on grading feature is unreadable AFTER entering on dark mode. ,Bug,Open,Sakai,software,Text input (CKEditor) does not follow dark mode theme after text is input - refer to screenshot.
Gateway: No indicator which page the user is actually on,Bug,Closed,Sakai,software,"On 24 & 23, the navigation does not make it obvious which page youâ€™re viewing when on the Gateway page."
Gateway page: More buttons on Features page should match other button colors,Bug,Open,Sakai,software,"The More buttons on the Gateway > Features page are a bright blue and IMHO for consistency, should match either the blue of the navigation or the Sakai logo.

Sakai logo: #0F4B70

Gateway (nav link): #144E72

More buttons: #0D6EFD"
"Release Grades does not work consistently across old grader, new grader, upload all",Bug,Verified,Sakai,software,"Instructor leaving feedback on an ungraded assignment should result in â€œRelease Gradesâ€ click returning the submission to student for review

Any type of modification of the submission e.g., with or without a grade, any comment, etc., should result in the submission then moving to become GRADED. Once it is marked as GRADED, then Release Grades function will correctly return it to student"
Rubrics: content not loading due to tool being broken,Bug,Open,Sakai,software,"Weâ€™re getting an going issue once in a while where the rubrics tool just crashes. This is caused by some kind of â€œwrong orderingâ€ of criterions and ratings being stored in database (i.e. 0 - 1 - 3 with 2 missing). Theyâ€™re both loaded/stored using a Spring tag (OrderColumn).

When this is the case the method getRubricsForSite from RubricsService throws an exception and it has a few side effects:

* Rubrics tool doesnâ€™t load any Rubric.
* Same with other tools trying to associate rubrics.
* Transfer of assessments between sites also fails because it loads the site rubrics before doing anything else (see SAK-49436)

{noformat}Caused by: java.lang.NullPointerException
	at org.sakaiproject.rubrics.api.beans.CriterionTransferBean.<init>(CriterionTransferBean.java:39) ~[rubrics-api-22-SNAPSHOT.jar:22-SNAPSHOT]
	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:195) ~[?:?]
	at java.util.Iterator.forEachRemaining(Iterator.java:133) ~[?:?]
	at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801) ~[?:?]
	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:484) ~[?:?]
	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:474) ~[?:?]
	at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:913) ~[?:?]
	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[?:?]
	at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:578) ~[?:?]
	at org.sakaiproject.rubrics.api.beans.RubricTransferBean.<init>(RubricTransferBean.java:50) ~[rubrics-api-22-SNAPSHOT.jar:22-SNAPSHOT]
	at org.sakaiproject.rubrics.impl.RubricsServiceImpl.lambda$getRubricsForSite$3(RubricsServiceImpl.java:264) ~[?:?]{noformat}

There is also a similar trace for the ratings case (something like RatingTransferBean)."
Resources Scrolling issue when selecting from other sites,Bug,Closed,Sakai,software,Thereâ€™s no way to scroll all the contents.
"View As: when instructor views as student, and creates a message, the message actually gets sent",Bug,Open,Sakai,software,"When the instructor selects View As Student and goes into messages,  composes and sends a message with the email box checked, an email actually gets sent."
"Roster - ""Admin"" level users can no longer see user photos in the Roster tool",Bug,Closed,Sakai,software,"h1. Issue

After applying 22.4 to our production system, we noticed that â€œadminâ€ users can no longer see any user photos in the Roster tool, including official photos.

By default, an â€œadminâ€ user is a super-user who should inherit the same permissions as an Instructor or Maintain user without any extra effort. Also, it is not desirable in all situations to manually enroll an admin user as an â€œInstructorâ€ to troubleshoot site issues.

What changed in 22.4? How can the admin role (which isnâ€™t a formal â€œroleâ€ for class sites or project sites) have the appropriate, top-level permissions for Roster (and any tool, frankly)."
Tests & Quizzes: Unable to access test Settings in Serbian,Bug,Verified,Sakai,software,"I had realized in looking at the Serbian language addition (SAK-49703) that I had created a test, but not viewed the Settings page. I went back to test this, and found that I could not access Settings from either the Actions menu or the Assessment Builder. It refreshed the list of assessments and gave an error in the console and log. 



15-Feb-2024 09:02:48.183 WARNING [http-nio-20313-exec-9] com.sun.faces.lifecycle.ApplyRequestValuesPhase.execute Illegal pattern character 'g'

	java.lang.IllegalArgumentException: Illegal pattern character 'g'

		at java.base/java.text.SimpleDateFormat.compile(SimpleDateFormat.java:845)

		at java.base/java.text.SimpleDateFormat.initialize(SimpleDateFormat.java:653)

		at java.base/java.text.SimpleDateFormat.<init>(SimpleDateFormat.java:624)

		at org.sakaiproject.tool.assessment.ui.bean.author.AssessmentSettingsBean.setDisplayFormat(AssessmentSettingsBean.java:1632)

		at org.sakaiproject.tool.assessment.ui.listener.author.AuthorSettingsListener.processAction(AuthorSettingsListener.java:91)

		at javax.faces.event.ActionEvent.processListener(ActionEvent.java:72)

		at javax.faces.component.UIComponentBase.broadcast(UIComponentBase.java:490)

		at javax.faces.component.UICommand.broadcast(UICommand.java:211)

		at javax.faces.component.UIViewRoot.broadcastEvents(UIViewRoot.java:847)

		at javax.faces.component.UIViewRoot.processDecodes(UIViewRoot.java:1011)

		at com.sun.faces.lifecycle.ApplyRequestValuesPhase.execute(ApplyRequestValuesPhase.java:55)

		at com.sun.faces.lifecycle.Phase.doPhase(Phase.java:76)

		at com.sun.faces.lifecycle.LifecycleImpl.execute(LifecycleImpl.java:177)

		at javax.faces.webapp.FacesServlet.executeLifecyle(FacesServlet.java:707)

		at javax.faces.webapp.FacesServlet.service(FacesServlet.java:451)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:450)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661)

		at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425)

		at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:357)

		at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294)

		at org.sakaiproject.jsf.util.SamigoJsfTool.dispatch(SamigoJsfTool.java:377)

		at org.sakaiproject.jsf2.util.JsfTool.doPost(JsfTool.java:249)

		at javax.servlet.http.HttpServlet.service(HttpServlet.java:555)

		at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661)

		at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425)

		at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330)

		at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294)

		at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508)

		at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1392)

		at org.sakaiproject.portal.charon.handlers.SiteHandler.doToolBuffer(SiteHandler.java:1295)

		at org.sakaiproject.portal.charon.handlers.SiteHandler.bufferContent(SiteHandler.java:1129)

		at org.sakaiproject.portal.charon.handlers.SiteHandler.doSite(SiteHandler.java:527)

		at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:290)

		at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:188)

		at org.sakaiproject.portal.charon.handlers.WorksiteHandler.doPost(WorksiteHandler.java:69)

		at org.sakaiproject.portal.charon.SkinnableCharonPortal.doPost(SkinnableCharonPortal.java:1101)

		at javax.servlet.http.HttpServlet.service(HttpServlet.java:555)

		at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:500)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)

		at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

		at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

		at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167)

		at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90)

		at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:481)

		at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:130)

		at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93)

		at org.apache.catalina.valves.RemoteIpValve.invoke(RemoteIpValve.java:768)

		at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74)

		at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)

		at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:390)

		at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)

		at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:926)

		at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1791)

		at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)

		at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191)

		at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659)

		at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)

		at java.base/java.lang.Thread.run(Thread.java:829)

15-Feb-2024 09:02:48.186 WARN [http-nio-20313-exec-9] o.s.p.c.h.SiteHandler.bufferContent Failed to buffer content.

org.sakaiproject.tool.api.ToolException: javax.servlet.ServletException: Illegal pattern character 'g'

	at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:520) ~[?:?]

	at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1392) ~[sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.SiteHandler.doToolBuffer(SiteHandler.java:1295) ~[sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.SiteHandler.bufferContent(SiteHandler.java:1129) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.SiteHandler.doSite(SiteHandler.java:527) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:290) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:188) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.handlers.WorksiteHandler.doPost(WorksiteHandler.java:69) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.sakaiproject.portal.charon.SkinnableCharonPortal.doPost(SkinnableCharonPortal.java:1101) [sakai-portal-impl-24-SNAPSHOT.jar:24-SNAPSHOT]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:555) [servlet-api.jar:4.0.FR]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:623) [servlet-api.jar:4.0.FR]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209) [catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) [catalina.jar:9.0.76]

	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:500) [sakai-kernel-api-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) [catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) [catalina.jar:9.0.76]

	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51) [tomcat-websocket.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) [catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) [catalina.jar:9.0.76]

	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167) [catalina.jar:9.0.76]

	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90) [catalina.jar:9.0.76]

	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:481) [catalina.jar:9.0.76]

	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:130) [catalina.jar:9.0.76]

	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93) [catalina.jar:9.0.76]

	at org.apache.catalina.valves.RemoteIpValve.invoke(RemoteIpValve.java:768) [catalina.jar:9.0.76]

	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74) [catalina.jar:9.0.76]

	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343) [catalina.jar:9.0.76]

	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:390) [tomcat-coyote.jar:9.0.76]

	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63) [tomcat-coyote.jar:9.0.76]

	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:926) [tomcat-coyote.jar:9.0.76]

	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1791) [tomcat-coyote.jar:9.0.76]

	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52) [tomcat-coyote.jar:9.0.76]

	at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191) [tomcat-util.jar:9.0.76]

	at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659) [tomcat-util.jar:9.0.76]

	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) [tomcat-util.jar:9.0.76]

	at java.lang.Thread.run(Thread.java:829) [?:?]

Caused by: javax.servlet.ServletException: Illegal pattern character 'g'

	at javax.faces.webapp.FacesServlet.executeLifecyle(FacesServlet.java:725) ~[?:?]

	at javax.faces.webapp.FacesServlet.service(FacesServlet.java:451) ~[?:?]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51) ~[tomcat-websocket.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:450) ~[sakai-kernel-api-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:357) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294) ~[catalina.jar:9.0.76]

	at org.sakaiproject.jsf.util.SamigoJsfTool.dispatch(SamigoJsfTool.java:377) ~[?:?]

	at org.sakaiproject.jsf2.util.JsfTool.doPost(JsfTool.java:249) ~[?:?]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:555) ~[servlet-api.jar:4.0.FR]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:623) ~[servlet-api.jar:4.0.FR]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294) ~[catalina.jar:9.0.76]

	at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508) ~[?:?]

	... 35 more

Caused by: java.lang.IllegalArgumentException: Illegal pattern character 'g'

	at java.text.SimpleDateFormat.compile(SimpleDateFormat.java:845) ~[?:?]

	at java.text.SimpleDateFormat.initialize(SimpleDateFormat.java:653) ~[?:?]

	at java.text.SimpleDateFormat.<init>(SimpleDateFormat.java:624) ~[?:?]

	at org.sakaiproject.tool.assessment.ui.bean.author.AssessmentSettingsBean.setDisplayFormat(AssessmentSettingsBean.java:1632) ~[?:?]

	at org.sakaiproject.tool.assessment.ui.listener.author.AuthorSettingsListener.processAction(AuthorSettingsListener.java:91) ~[?:?]

	at javax.faces.event.ActionEvent.processListener(ActionEvent.java:72) ~[?:?]

	at javax.faces.component.UIComponentBase.broadcast(UIComponentBase.java:490) ~[?:?]

	at javax.faces.component.UICommand.broadcast(UICommand.java:211) ~[?:?]

	at javax.faces.component.UIViewRoot.broadcastEvents(UIViewRoot.java:847) ~[?:?]

	at javax.faces.component.UIViewRoot.processDecodes(UIViewRoot.java:1011) ~[?:?]

	at com.sun.faces.lifecycle.ApplyRequestValuesPhase.execute(ApplyRequestValuesPhase.java:55) ~[?:?]

	at com.sun.faces.lifecycle.Phase.doPhase(Phase.java:76) ~[?:?]

	at com.sun.faces.lifecycle.LifecycleImpl.execute(LifecycleImpl.java:177) ~[?:?]

	at javax.faces.webapp.FacesServlet.executeLifecyle(FacesServlet.java:707) ~[?:?]

	at javax.faces.webapp.FacesServlet.service(FacesServlet.java:451) ~[?:?]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51) ~[tomcat-websocket.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:450) ~[sakai-kernel-api-24-SNAPSHOT.jar:24-SNAPSHOT]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:357) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294) ~[catalina.jar:9.0.76]

	at org.sakaiproject.jsf.util.SamigoJsfTool.dispatch(SamigoJsfTool.java:377) ~[?:?]

	at org.sakaiproject.jsf2.util.JsfTool.doPost(JsfTool.java:249) ~[?:?]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:555) ~[servlet-api.jar:4.0.FR]

	at javax.servlet.http.HttpServlet.service(HttpServlet.java:623) ~[servlet-api.jar:4.0.FR]

	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330) ~[catalina.jar:9.0.76]

	at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294) ~[catalina.jar:9.0.76]

	at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508) ~[?:?]

	... 35 more"
